has_data,query,date,formatted_value,value
True,coffee Mumbai,"Jun 1 – 7, 2025",coffee Mumbai,65
True,coffee Mumbai,"Jun 8 – 14, 2025",coffee Mumbai,70
True,coffee Mumbai,"Jun 15 – 21, 2025",coffee Mumbai,66
True,coffee Mumbai,"Jun 22 – 28, 2025",coffee Mumbai,63
True,coffee Mumbai,"Jun 29 – Jul 5, 2025",coffee Mumbai,77
True,coffee Mumbai,"Jul 6 – 12, 2025",coffee Mumbai,67
True,coffee Mumbai,"Jul 13 – 19, 2025",coffee Mumbai,71
True,coffee Mumbai,"Jul 20 – 26, 2025",coffee Mumbai,68
True,coffee Mumbai,"Jul 27 – Aug 2, 2025",coffee Mumbai,67
True,coffee Mumbai,"Aug 3 – 9, 2025",coffee Mumbai,61
True,coffee Mumbai,"Aug 10 – 16, 2025",coffee Mumbai,77
True,coffee Mumbai,"Aug 17 – 23, 2025",coffee Mumbai,69
True,coffee Mumbai,"Aug 24 – 30, 2025",coffee Mumbai,51
True,coffee Mumbai,"Aug 31 – Sep 6, 2025",coffee Mumbai,48
True,coffee Mumbai,"Sep 7 – 13, 2025",coffee Mumbai,60
True,coffee Mumbai,"Sep 14 – 20, 2025",coffee Mumbai,52
True,coffee Mumbai,"Sep 21 – 27, 2025",coffee Mumbai,53
True,coffee Mumbai,"Sep 28 – Oct 4, 2025",coffee Mumbai,56
