date,value,query,has_data,formatted_value
"Oct 20 – 26, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Oct 27 – Nov 2, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Nov 3 – 9, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Nov 10 – 16, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Nov 17 – 23, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Nov 24 – 30, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Dec 1 – 7, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Dec 8 – 14, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Dec 15 – 21, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Dec 22 – 28, 2024",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Dec 29, 2024 – Jan 4, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jan 5 – 11, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jan 12 – 18, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jan 19 – 25, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jan 26 – Feb 1, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Feb 2 – 8, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Feb 9 – 15, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Feb 16 – 22, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Feb 23 – Mar 1, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Mar 2 – 8, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Mar 9 – 15, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Mar 16 – 22, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Mar 23 – 29, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Mar 30 – Apr 5, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Apr 6 – 12, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Apr 13 – 19, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Apr 20 – 26, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Apr 27 – May 3, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"May 4 – 10, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"May 11 – 17, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"May 18 – 24, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"May 25 – 31, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jun 1 – 7, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jun 8 – 14, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jun 15 – 21, 2025",100,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jun 22 – 28, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jun 29 – Jul 5, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jul 6 – 12, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jul 13 – 19, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jul 20 – 26, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Jul 27 – Aug 2, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Aug 3 – 9, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Aug 10 – 16, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Aug 17 – 23, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Aug 24 – 30, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Aug 31 – Sep 6, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Sep 7 – 13, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Sep 14 – 20, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Sep 21 – 27, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
"Sep 28 – Oct 4, 2025",0,bakery Ahilyanagar,True,bakery Ahilyanagar
